Voice Name: ar-YE-MaryamNeural, Gender: SynthesisVoiceGender.Female, Locale: ar-YE
Voice Name: ar-YE-SalehNeural, Gender: SynthesisVoiceGender.Male, Locale: ar-YE
Voice Name: as-IN-YashicaNeural, Gender: SynthesisVoiceGender.Female, Locale: as-IN
Voice Name: as-IN-PriyomNeural, Gender: SynthesisVoiceGender.Male, Locale: as-IN
Voice Name: az-AZ-BanuNeural, Gender: SynthesisVoiceGender.Female, Locale: az-AZ
Voice Name: az-AZ-BabekNeural, Gender: SynthesisVoiceGender.Male, Locale: az-AZ
Voice Name: bg-BG-KalinaNeural, Gender: SynthesisVoiceGender.Female, Locale: bg-BG
Voice Name: bg-BG-BorislavNeural, Gender: SynthesisVoiceGender.Male, Locale: bg-BG
Voice Name: bn-BD-NabanitaNeural, Gender: SynthesisVoiceGender.Female, Locale: bn-BD
Voice Name: bn-BD-PradeepNeural, Gender: SynthesisVoiceGender.Male, Locale: bn-BD
Voice Name: bn-IN-TanishaaNeural, Gender: SynthesisVoiceGender.Female, Locale: bn-IN
Voice Name: bn-IN-BashkarNeural, Gender: SynthesisVoiceGender.Male, Locale: bn-IN
Voice Name: bs-BA-VesnaNeural, Gender: SynthesisVoiceGender.Female, Locale: bs-BA
Voice Name: bs-BA-GoranNeural, Gender: SynthesisVoiceGender.Male, Locale: bs-BA
Voice Name: ca-ES-JoanaNeural, Gender: SynthesisVoiceGender.Female, Locale: ca-ES
Voice Name: ca-ES-EnricNeural, Gender: SynthesisVoiceGender.Male, Locale: ca-ES
Voice Name: ca-ES-AlbaNeural, Gender: SynthesisVoiceGender.Female, Locale: ca-ES
Voice Name: cs-CZ-VlastaNeural, Gender: SynthesisVoiceGender.Female, Locale: cs-CZ
Voice Name: cs-CZ-AntoninNeural, Gender: SynthesisVoiceGender.Male, Locale: cs-CZ
Voice Name: cy-GB-NiaNeural, Gender: SynthesisVoiceGender.Female, Locale: cy-GB
Voice Name: cy-GB-AledNeural, Gender: SynthesisVoiceGender.Male, Locale: cy-GB
Voice Name: da-DK-ChristelNeural, Gender: SynthesisVoiceGender.Female, Locale: da-DK
Voice Name: da-DK-JeppeNeural, Gender: SynthesisVoiceGender.Male, Locale: da-DK
Voice Name: de-AT-IngridNeural, Gender: SynthesisVoiceGender.Female, Locale: de-AT
Voice Name: de-AT-JonasNeural, Gender: SynthesisVoiceGender.Male, Locale: de-AT
Voice Name: de-CH-LeniNeural, Gender: SynthesisVoiceGender.Female, Locale: de-CH
Voice Name: de-CH-JanNeural, Gender: SynthesisVoiceGender.Male, Locale: de-CH
Voice Name: de-DE-KatjaNeural, Gender: SynthesisVoiceGender.Female, Locale: de-DE
Voice Name: de-DE-ConradNeural, Gender: SynthesisVoiceGender.Male, Locale: de-DE
Voice Name: de-DE-SeraphinaMultilingualNeural, Gender: SynthesisVoiceGender.Female, Locale: de-DE
Voice Name: de-DE-FlorianMultilingualNeural, Gender: SynthesisVoiceGender.Male, Locale: de-DE
Voice Name: de-DE-AmalaNeural, Gender: SynthesisVoiceGender.Female, Locale: de-DE
